Cereal Name,Manufacturer,Calories,Protein (g)
Rep. A. Dutch Ruppersberger,2,6.067137213,12.50259323
Rep. Aaron Schock,7,-27.90432279,-9.225039586
Rep. Abby Finkenauer,5,9.239259431,-2.170848003
Rep. Abigail Spanberger,5,9.707101952,-1.641524438
Rep. Adam Kinzinger,1,4.48495512,-11.03406501
Rep. Adam Schiff,2,4.915104667,11.91965107
Rep. Adam Smith,2,4.08256083,11.0180348
Rep. Adrian Smith,1,3.76660972,-11.11345182
Rep. Adriano Espaillat,2,8.426532941,7.070531613
Rep. Al Green,2,4.762660335,11.73728034
Rep. Al Lawson Jr.,2,9.813486587,8.146426818
Rep. Alan Grayson,3,4.632432309,17.65259327
Rep. Alan Lowenthal,2,7.522372669,11.15767412
Rep. Alan Nunnelee,7,-33.03873918,-6.798356654
Rep. Albio Sires,2,5.590807068,12.24445026
Rep. Alcee Hastings,2,4.343665245,12.61278974
Rep. Alexander Mooney,6,21.07257431,-14.56133089
Rep. Alexandria Ocasio-Cortez,5,7.456445325,-5.207968338
Rep. Allen West,7,-38.98077432,-9.568676026
Rep. Allyson Schwartz,4,-21.37810752,17.26562218
Rep. Alma Adams,2,13.14445833,10.11917796
Rep. Ami Bera,2,8.268847085,13.2828726
Rep. Ander Crenshaw,0,-5.082806925,-13.57202287
Rep. André Carson,2,5.067078006,12.03572975
Rep. Andy Biggs,6,19.41305742,-13.28043321
Rep. Andy Harris,1,4.205497949,-12.59205484
Rep. Andy Kim,5,8.675999645,-3.671853707
Rep. Andy Levin,5,8.513980777,-3.72741955
Rep. Angie Craig,5,9.11956038,-2.929312923
Rep. Ann Kirkpatrick,2,7.030916578,8.442038436
Rep. Ann Kuster,2,8.17670571,12.50981823
Rep. Ann Marie Buerkle,7,-39.24039924,-10.21894357
Rep. Ann Wagner,1,8.427755978,-10.97494979
Rep. Anna Eshoo,2,4.808805231,11.32388531
Rep. Anthony Brindisi,5,10.15836312,-1.641309314
Rep. Anthony Brown,2,8.867413512,7.850032792
Rep. Anthony Gonzalez,2,9.75354503,18.27377766
Rep. Antonio Delgado,5,8.80983161,-3.037068607
Rep. Austin Scott,1,3.662188502,-11.36029764
Rep. Ayanna Pressley,5,8.210539595,-4.45576225
Rep. Barbara Comstock,6,23.1986313,-19.70686305
Rep. Barbara Lee,2,4.864701256,10.80618957
Rep. Barney Frank,4,-25.18191141,15.17252943
Rep. Barry Loudermilk,6,21.745299,-14.34472283
Rep. Ben Chandler,4,-27.70749752,10.71640279
Rep. Ben Cline,2,10.99465752,19.46115788
Rep. Ben Luján,2,5.05255698,11.99105081
Rep. Ben McAdams,5,9.185604208,-0.913872747
Rep. Ben Quayle,7,-39.57062706,-9.803930443
Rep. Bennie Thompson,2,4.462469488,11.64408629
Rep. Beto O’Rourke,3,7.248460001,19.24202429
Rep. Betty McCollum,2,4.548888548,11.77282159
Rep. Betty Sutton,4,-25.79693611,14.68009863
Rep. Bill Cassidy,7,-34.00814523,-7.141716746
Rep. Bill Flores,1,4.38972252,-11.67517571
Rep. Bill Foster,2,7.918462018,12.15946455
Rep. Bill Huizenga,1,3.560375448,-11.32380999
Rep. Bill Johnson,1,4.135448988,-10.78073636
Rep. Bill Pascrell Jr.,2,5.489679349,11.81031105
Rep. Bill Posey,1,3.413289993,-11.68375413
Rep. Bill Shuster,1,2.982980449,-14.70241055
Rep. Billy Long,1,3.102137259,-10.81081975
Rep. Blaine Luetkemeyer,1,4.179393718,-10.59967591
Rep. Blake Farenthold,1,1.449556524,-15.91756697
Rep. Bob Dold,1,9.823181042,-20.09810394
Rep. Bob Filner,4,-24.42981438,14.31859374
Rep. Bob Gibbs,1,4.172017336,-11.29051083
Rep. Bob Goodlatte,1,3.225820451,-15.3367168
Rep. Bobby Rush,2,6.386676191,9.534740585
Rep. Bonnie Watson Coleman,2,13.30160551,9.579406459
Rep. Brad Ashford,3,28.08299423,16.5903636
Rep. Brad Sherman,2,4.694274313,12.30314077
Rep. Brad Wenstrup,1,8.638496139,-11.86383114
Rep. Bradley “Brad” Miller,4,-26.3905285,14.68073005
Rep. Bradley “Brad” Schneider,2,3.267738557,9.101062763
Rep. Bradley Byrne,6,15.43071006,-12.70457262
Rep. Brenda Jones,2,2.156155005,12.81538093
Rep. Brenda Lawrence,2,14.1258168,10.25850969
Rep. Brendan Boyle,2,13.8668619,10.35036062
Rep. Brett Guthrie,1,3.825759173,-10.84673915
Rep. Brian Babin,6,21.50555668,-14.2719566
Rep. Brian Bilbray,7,-39.45387306,-10.29027968
Rep. Brian Fitzpatrick,6,16.56545713,-5.567038621
Rep. Brian Higgins,2,5.316674533,12.20214324
Rep. Brian Mast,6,16.80873615,-7.927078508
Rep. Bruce Braley,4,-21.29036057,16.46799626
Rep. Bruce Poliquin,6,22.95000835,-19.21685081
Rep. Bruce Westerman,6,20.86262355,-13.44967673
Rep. Bryan Steil,2,9.663923819,17.84073162
Rep. Candice Miller,0,-6.124560626,-13.56163648
Rep. Carlos Curbelo,6,23.12252634,-20.83589794
Rep. Carol Miller,2,11.14178573,19.03234195
Rep. Carol Shea-Porter,3,-3.56501574,21.39594299
